Year,Country Name,CPI,GDP,GDP Deflator,Inflation
2017,Brazil,155.6687862,1.32286905404399,163.4205261562,3.44637335032672
2017,Canada,111.9848311,3.03988022528195,103.338367716501,1.5968841285297
2017,China,119.0880504,6.94720079330668,105.699596484142,1.59313600071434
2017,Colombia,131.87763,1.35936086788746,110.546372091236,4.31431325695007
2017,France,106.864453,2.29141999417021,101.046862157429,1.03228275064674
2017,Germany,109.3524602,2.68023111405891,102.851457139699,1.50949485109622
2017,India,159.1811978,6.79538341897911,130.015866407513,3.32817337461301
2017,Japan,103.9637898,1.67533175166503,100.345282645769,0.484199796126387
2017,Poland,109.6376705,5.14001757409446,101.85092058039,2.07593553673862
2017,United Arab Emirates,113.302921,0.735068713165646,96.7954234609874,1.96682557818841
2017,United Kingdom,114.9435916,2.44357046987986,103.703422726442,2.55775577557754
2017,United States,112.4115573,2.24192121597748,102.920884186988,2.13011000365963
2018,Brazil,161.3738142,1.783666761634,170.763883603534,3.66485028376724
2018,Canada,114.5248998,2.77704055379553,105.009777346705,2.268225672481
2018,China,121.5588779,6.74977383254181,109.398815612929,2.07479039965578
2018,Colombia,136.151216,2.56432428277704,115.665309926839,3.24056932930567
2018,France,108.8423164,1.86506607081999,102.049473947308,1.85081508315494
2018,Germany,111.2466294,0.981232606004738,104.916192367562,1.73216879766946
2018,India,165.4510689,6.45385134497769,135.065995050452,3.93882646691634
2018,Japan,104.99209,0.584068067242868,100.3435649386,0.989094598021806
2018,Poland,111.6253484,5.94520847705498,103.103321212121,1.81295156542681
2018,United Arab Emirates,116.7797727,1.31391388141118,104.47783233038,3.06863379251991
2018,United Kingdom,117.5790642,1.70502102232903,105.505635647585,2.29283990345939
2018,United States,115.1573032,2.9453848312678,105.395162546911,2.44258329692818
2019,Brazil,167.3978603,1.22077782360842,177.977392101691,3.73297621216894
2019,Canada,116.7572982,1.87959202770178,106.558879397894,1.94926902411596
2019,China,125.0831544,5.9505007536746,110.806450619435,2.89923416358227
2019,Colombia,140.9478497,3.18685539245533,120.294953383022,3.52301932741443
2019,France,110.0485668,1.84297181445896,103.354270506569,1.10825492288292
2019,Germany,112.8548771,1.05660389828289,107.145015879936,1.44565976888251
2019,India,171.621576,3.73791851955785,138.295083695768,3.72950573539126
2019,Japan,105.4842679,-0.240350840922716,100.982641771948,0.468776159383912
2019,Poland,114.1117794,4.44998787878788,106.229967214119,2.227478809383
2019,United Arab Emirates,114.5246605,1.10834813893099,101.140382624486,-1.93108114782168
2019,United Kingdom,119.6227113,1.60430864787399,107.735406291823,1.73810460086511
2019,United States,117.2441955,2.29443907769311,107.285878514308,1.81221007526015
2020,Brazil,172.7742913,-3.87867633397198,187.125825872176,3.21176803803379
2020,Canada,117.5944476,-5.23302430280606,107.357730498937,0.716999632307852
2020,China,128.1094436,2.23970185692298,111.351007115753,2.4194218945778
2020,Colombia,144.5090874,-7.04815120786543,121.926740356043,2.52663500084712
2020,France,110.5729469,-7.78458649167871,106.232249257605,0.476498852725083
2020,Germany,113.0183789,-3.69678870538043,109.085208779815,0.144877925813972
2020,India,182.9888226,-6.59608052232176,146.040879640847,6.62343677628532
2020,Japan,105.4579012,-4.50690454226634,101.898108990742,-0.0249958340276592
2020,Poland,117.9624468,-2.02007073357655,110.750093686501,3.3744697261859
2020,United Arab Emirates,112.1432311,-4.95705243652739,88.9718744148615,-2.07940317940942
2020,United Kingdom,120.8063621,-11.0308584551979,114.127506118352,0.98948670377243
2020,United States,118.6905016,-2.76780251140578,108.68586489374,1.23358439630637
2021,Brazil,187.1174251,4.61942162067312,207.890000684477,8.30165975585676
2021,Canada,121.5870063,4.54088730942124,116.020838572635,3.39519318527532
2021,China,129.3662166,8.1097925807738,116.219035855729,0.981015135544851
2021,Colombia,149.5597632,10.6770130738261,129.854678896231,3.49505757399453
2021,France,112.3889211,6.81658913649873,107.648663411313,1.64233141038392
2021,Germany,116.4842759,2.62698726672524,112.420598884623,3.06666666666666
2021,India,192.3787247,8.68122873083119,160.595922201152,5.13140747176369
2021,Japan,105.2118123,1.65707111732294,101.005861887936,-0.233352779398279
2021,Poland,123.9254804,6.84771336241919,116.345748817675,5.05502704719268
2021,United Arab Emirates,112.1276881,3.91629608037678,101.677796277529,-0.013859944401233
2021,United Kingdom,123.8487146,7.52491037367686,114.548926980147,2.51837109614205
2021,United States,124.2664138,5.94548476122172,113.568894993064,4.69785886363739
